"","Name","Price","Rating","Reviews","Ratings"
"158","Logitech G502 HERO Special Edition High-Performance Wired Gaming Mouse, 25K HERO Sensor, 25600 DPI, RGB, Adjustable Weight, 11 Programmable Buttons, PC/Mac - Black and White  ","£38.67£38.67","29,111","4.7 out of 5 stars",NA
"159","Razer Cynosa Lite - Essential Gaming Keyboard (Fully Programmable, RGB Chroma Lighting, Gaming Grade Keys, 10 Key Roll-Over, Spill Resistant) UK Layout | Black  ","£24.53£24.53","3,180","4.4 out of 5 stars",NA
"160","Trust Gaming GXT 1863 Thaz Mechanical Keyboard with UK Layout - Mechanical Outemu RED Switches, Anti-Ghosting N-key Rollover, 14 Colour Modes, USB Plug and Play, PC/Mac/Laptop [Amazon Exclusive]  ","£37.49£37.49","365","4.0 out of 5 stars",NA
"161","Gaming Headset for Ps-4 Xbox One S 3.5mm Wired Over-head Stereo Gaming Headset Headphone with Mic Microphone, Volume Control for Ps-4 PC Tablet Laptop Smartphone Xbox One S  ","£17.99£17.99","6,133","4.0 out of 5 stars",NA
"162","Corsair MM200 Extended Cloth Surface Mousepad Glide-Optimised Textile Surface, Anti-Slip Base, Designed for Optical and Laser Mice, 930 x 300 x 2 mm, Black  ","£21.14£21.14","4,459","4.6 out of 5 stars",NA
"163","Sehawei Arcade Stick 16Keys All-Button Gamerfinger with Custom RGB & Turbo Functions,Arcade Controller Street Fight for PC/Ps3/Ps4/Switch/Steam Game Keyboard-Supports Hot Swap & SOCD  ","£11.66£11.66","70","4.6 out of 5 stars",NA
"164","RedThunder K84 75% Wireless Gaming Keyboard and Mouse Rainbow Backlight UK Layout 85 Keys TKL Ultra Compact Mini Design Lightweight Honeycomb Gaming Mouse for PC Mac PS5 Xbox Office Gamers  ","£15.29£15.29","67","4.2 out of 5 stars",NA
"165","Luna Wireless Controller  ","£26.99£26.99","1,251","4.4 out of 5 stars",NA
"166","Orzly Accessory Bundle Kit designed for Nintendo switch Accessories Geeks and Oled console users Case and Screen protector, Joycon grips and Wheels for enhanced games play and more - Jet black  ","£59.99£59.99","19,729","4.7 out of 5 stars",NA
"167","Subsonic Superdrive - SV450 Racing steering wheel with pedal and paddle shifters for Xbox Serie X/S, Switch, PS4, Xbox One, PC (programmable for all games) (Xbox Series X)  ","£49.99£49.99","1,652","4.0 out of 5 stars",NA
"168","Razer Wolverine V2 Pro - Wireless Pro Gaming Controller for PS5 Consoles and PC (HyperSpeed Wireless, Mecha-Tactile Action Buttons, 8-Way Microswitch D-Pad, HyperTrigger) Mercury  ","£58.32£58.32","2,593","4.3 out of 5 stars",NA
"169",NA,"£53.99£53.99",NA,"4 Stars & Up",NA
"170",NA,"£40.18£40.18",NA,"3 Stars & Up",NA
"171",NA,"£66.66£66.66",NA,"2 Stars & Up",NA
"172",NA,"£53.25£53.25",NA,"1 Star & Up",NA
"173",NA,"£179.99£179.99",NA,NA,NA
"174",NA,"£224.99£224.99",NA,NA,NA
"175",NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA
